"faceName","img1Name","img2Name","img3Name","intactImageLocation","isSeen","response_face_key_response","response_image_key_response"
"Cong_Anger_Anger_Left_Fem_Face.png","Cong_Anger_Anger_Left_Fem_Intact.jpeg","Cong_Anger_Anger_Left_Fem_Rearranged.png","Cong_Anger_Anger_Left_Fem_New.png","1","DOĞRU","f","1"
"Low_Anger_Sad_Left_Male_Face.png","Low_Anger_Sad_Left_Male_Rearranged.png","Low_Anger_Sad_Left_Male_Intact.png","Low_Anger_Sad_Left_Male_New.png","2","DOĞRU","f","2"
"getimg_ai_img-NFnCCddNDYO0k0RUOXZHQ_new.png","-","-","-","1","YANLIŞ","f","2"
"Cong_Disgust_Disgust_Right_Male_Face.png","Cong_Disgust_Disgust_Right_Male_Intact.png","Cong_Disgust_Disgust_Right_Male_New.jpeg","Cong_Disgust_Disgust_Right_Male_Rearranged.png","1","DOĞRU","f","3"
"Low_Fear_Anger_Right_Fem_Face.png","Low_Fear_Anger_Right_Fem_Rearranged.png","Low_Fear_Anger_Right_Fem_New.png","Low_Fear_Anger_Right_Fem_Intact.png","3","DOĞRU","j","3"
"High_Anger_Disgust_Left_Fem_Face.png","High_Anger_Disgust_Left_Fem_New.png","High_Anger_Disgust_Left_Fem_Rearranged.png","High_Anger_Disgust_Left_Fem_Intact.png","3","DOĞRU","j","3"
"High_Disgust_Sad_Right_Male_Face.png","High_Disgust_Sad_Right_Male_Intact.png","High_Disgust_Sad_Right_Male_Rearranged.png","High_Disgust_Sad_Right_Male_New.png","1","DOĞRU","f","1"
"getimg_ai_img-l6rLKGbG6zJd2mNqhl1U4_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-Uo5ii3aBDAUeyF2scOHMe_new.png","-","-","-","1","YANLIŞ","f","1"
"getimg_ai_img-kTSuDT3g6j9z0OGrkqmmU_new.png","-","-","-","1","YANLIŞ","j","1"
"Low_Anger_Sad_Left_Male_Face.png","Low_Anger_Sad_Left_Male_Rearranged.png","Low_Anger_Sad_Left_Male_New.png","Low_Anger_Sad_Left_Male_Intact.png","3","DOĞRU","f","1"
"getimg_ai_img-6QiBfDyacDJAIaoa8XR3E_new.png","-","-","-","1","YANLIŞ","j","1"
"Cong_Anger_Anger_Right_Fem_Face.png","Cong_Anger_Anger_Right_Fem_New.png","Cong_Anger_Anger_Right_Fem_Rearranged.png","Cong_Anger_Anger_Right_Fem_Intact.png","3","DOĞRU","f","3"
"getimg_ai_img-xFf5EkJGBarHWIs4GQgbj_new.png","-","-","-","1","YANLIŞ","j","3"
"Low_Sad_Anger_Right_Fem_Face.png","Low_Sad_Anger_Right_Fem_Rearranged.png","Low_Sad_Anger_Right_Fem_Intact.png","Low_Sad_Anger_Right_Fem_New.png","2","DOĞRU","j","3"
"getimg_ai_img-OTFjfBDkSgHsu5gs0fGxt_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-Jnyqx5QCbfyi83zyW2T3b_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Fear_Fear_Right_Fem_Face.png","Cong_Fear_Fear_Right_Fem_Rearranged.jpeg","Cong_Fear_Fear_Right_Fem_Intact.png","Cong_Fear_Fear_Right_Fem_New.jpeg","2","DOĞRU","j","3"
"Low_Anger_Fear_Left_Fem_Face.png","Low_Anger_Fear_Left_Fem_Intact.png","Low_Anger_Fear_Left_Fem_Rearranged.jpeg","Low_Anger_Fear_Left_Fem_New.png","1","DOĞRU","f","2"
"getimg_ai_img-XIKN25WjHlFTjWTAE3kD7_new.png","-","-","-","1","YANLIŞ","f","2"
"getimg_ai_img-naQmOVKoviRX6hO2ySVC8_new.png","-","-","-","1","YANLIŞ","f","2"
"High_Sad_Disgust_Left_Male_Face.png","High_Sad_Disgust_Left_Male_Intact.jpeg","High_Sad_Disgust_Left_Male_Rearranged.png","High_Sad_Disgust_Left_Male_New.png","1","DOĞRU","f","2"
"getimg_ai_img-qmzRuN23QZycPHMwD7AiM_new.png","-","-","-","1","YANLIŞ","j","2"
"Low_Sad_Anger_Left_Male_Face.png","Low_Sad_Anger_Left_Male_New.jpeg","Low_Sad_Anger_Left_Male_Intact.png","Low_Sad_Anger_Left_Male_Rearranged.png","2","DOĞRU","j","2"
"getimg_ai_img-4IW5FTzRkSL9LHsdCzaz3_new.png","-","-","-","1","YANLIŞ","f","2"
"High_Disgust_Anger_Left_Fem_Face.png","High_Disgust_Anger_Left_Fem_Intact.png","High_Disgust_Anger_Left_Fem_New.png","High_Disgust_Anger_Left_Fem_Rearranged.png","1","DOĞRU","f","3"
"High_Disgust_Anger_Right_Fem_Face.png","High_Disgust_Anger_Right_Fem_Intact.png","High_Disgust_Anger_Right_Fem_Rearranged.png","High_Disgust_Anger_Right_Fem_New.png","1","DOĞRU","j","3"
"getimg_ai_img-RH0gzUDHQiYkKnvN7Yey0_new.png","-","-","-","1","YANLIŞ","f","3"
"getimg_ai_img-RsM4xcTp91gulDnuaeolE_new.png","-","-","-","1","YANLIŞ","j","3"
"High_Disgust_Anger_Left_Male_Face.png","High_Disgust_Anger_Left_Male_Rearranged.png","High_Disgust_Anger_Left_Male_Intact.png","High_Disgust_Anger_Left_Male_New.jpeg","2","DOĞRU","j","3"
"Low_Fear_Anger_Left_Male_Face.png","Low_Fear_Anger_Left_Male_Intact.png","Low_Fear_Anger_Left_Male_Rearranged.png","Low_Fear_Anger_Left_Male_New.png","1","DOĞRU","j","3"
"getimg_ai_img-Dm8wdr0RqZggWLcU62iRO_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-0sQNX5MAUk99pu0AQDlWc_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-2NYvjgBQox6LvSG5AKzeA_new.png","-","-","-","1","YANLIŞ","j","3"
"Low_Anger_Fear_Right_Male_Face.png","Low_Anger_Fear_Right_Male_New.jpeg","Low_Anger_Fear_Right_Male_Rearranged.jpeg","Low_Anger_Fear_Right_Male_Intact.jpeg","3","DOĞRU","f","3"
"getimg_ai_img-E9ldMLo16Rm671IKMQ8hK_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-X2pLsnG6ly815VJocUBng_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-7HTydQl1wLVzl9XVx9glF_new.png","-","-","-","1","YANLIŞ","f","3"
"High_Disgust_Sad_Right_Fem_Face.png","High_Disgust_Sad_Right_Fem_Rearranged.png","High_Disgust_Sad_Right_Fem_Intact.png","High_Disgust_Sad_Right_Fem_New.png","2","DOĞRU","f","1"
"High_Disgust_Sad_Left_Fem_Face.png","High_Disgust_Sad_Left_Fem_Rearranged.png","High_Disgust_Sad_Left_Fem_New.png","High_Disgust_Sad_Left_Fem_Intact.jpeg","3","DOĞRU","f","1"
"Low_Sad_Anger_Left_Fem_Face.png","Low_Sad_Anger_Left_Fem_Intact.png","Low_Sad_Anger_Left_Fem_New.jpeg","Low_Sad_Anger_Left_Fem_Rearranged.jpeg","1","DOĞRU","j","1"
"getimg_ai_img-k33tRcaIv91ldPGrW47gg_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-yfjzpyfLxwjWXa4LfjmDm_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-pfs4M0RRbZ8vvaFQktkOw_new.png","-","-","-","1","YANLIŞ","j","1"
"getimg_ai_img-SYth95NrKOCxIntKVEOlU_new.png","-","-","-","1","YANLIŞ","j","1"
"Low_Fear_Anger_Left_Fem_Face.png","Low_Fear_Anger_Left_Fem_Rearranged.png","Low_Fear_Anger_Left_Fem_New.jpeg","Low_Fear_Anger_Left_Fem_Intact.png","3","DOĞRU","j","1"
"Cong_Sad_Sad_Left_Male_Face.png","Cong_Sad_Sad_Left_Male_Intact.png","Cong_Sad_Sad_Left_Male_Rearranged.jpeg","Cong_Sad_Sad_Left_Male_New.png","1","DOĞRU","j","1"
"getimg_ai_img-hDRWWzH0apx4i8bwZe5KS_new.png","-","-","-","1","YANLIŞ","j","1"
"High_Sad_Disgust_Right_Male_Face.png","High_Sad_Disgust_Right_Male_Rearranged.png","High_Sad_Disgust_Right_Male_Intact.png","High_Sad_Disgust_Right_Male_New.jpeg","2","DOĞRU","f","2"
"getimg_ai_img-BRW0Kwe4mvTL0XzxroHrW_new.png","-","-","-","1","YANLIŞ","f","2"
"getimg_ai_img-I9JC74tkNcbe3XZldfWtj_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Sad_Sad_Left_Fem_Face.png","Cong_Sad_Sad_Left_Fem_Intact.jpeg","Cong_Sad_Sad_Left_Fem_Rearranged.png","Cong_Sad_Sad_Left_Fem_New.png","1","DOĞRU","j","2"
"getimg_ai_img-ynSUi7fg50tQxA5Eeaf8o_new.png","-","-","-","1","YANLIŞ","j","2"
"High_Sad_Disgust_Left_Fem_Face.png","High_Sad_Disgust_Left_Fem_New.jpeg","High_Sad_Disgust_Left_Fem_Rearranged.png","High_Sad_Disgust_Left_Fem_Intact.png","3","DOĞRU","j","2"
"getimg_ai_img-2Yhu7yAjaPBs2MzR46u6f_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-mefMv2VV1orBYGCR8hYUz_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-dltgozxy4ApJFG29jooGP_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-dOyZ3ECZEl1hUdn448vK2_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-0SjOQq3zXkHWDsvoDkzvW_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Anger_Anger_Right_Male_Face.png","Cong_Anger_Anger_Right_Male_New.png","Cong_Anger_Anger_Right_Male_Intact.png","Cong_Anger_Anger_Right_Male_Rearranged.png","2","DOĞRU","j","2"
"getimg_ai_img-iQEX1DlpKAPQMiAmckV6V_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-YJT9Xt4PMAI6dY9EZ8d6q_new.png","-","-","-","1","YANLIŞ","j","2"
"getimg_ai_img-uV6TraSKT2mvbSaPMuMca_new.png","-","-","-","1","YANLIŞ","j","2"
"Cong_Fear_Fear_Left_Male_Face.png","Cong_Fear_Fear_Left_Male_Intact.jpeg","Cong_Fear_Fear_Left_Male_New.jpeg","Cong_Fear_Fear_Left_Male_Rearranged.png","1","DOĞRU","j","2"
"Low_Fear_Anger_Right_Male_Face.png","Low_Fear_Anger_Right_Male_Rearranged.png","Low_Fear_Anger_Right_Male_New.jpeg","Low_Fear_Anger_Right_Male_Intact.png","3","DOĞRU","j","2"
"High_Disgust_Sad_Left_Male_Face.png","High_Disgust_Sad_Left_Male_Rearranged.jpeg","High_Disgust_Sad_Left_Male_New.png","High_Disgust_Sad_Left_Male_Intact.png","3","DOĞRU","j","2"
"Cong_Disgust_Disgust_Left_Fem_Face.png","Cong_Disgust_Disgust_Left_Fem_Rearranged.jpeg","Cong_Disgust_Disgust_Left_Fem_New.png","Cong_Disgust_Disgust_Left_Fem_Intact.png","3","DOĞRU","j","2"
"Cong_Fear_Fear_Right_Male_Face.png","Cong_Fear_Fear_Right_Male_New.jpeg","Cong_Fear_Fear_Right_Male_Rearranged.jpeg","Cong_Fear_Fear_Right_Male_Intact.jpeg","3","DOĞRU","j","2"
"High_Anger_Disgust_Right_Male_Face.png","High_Anger_Disgust_Right_Male_Rearranged.jpeg","img-dORF4u2a9LzVTs3IEJIP0_new.jpeg","High_Anger_Disgust_Right_Male_New.png","1","DOĞRU","f","2"
"Cong_Disgust_Disgust_Left_Male_Face.png","Cong_Disgust_Disgust_Left_Male_Rearranged.png","Cong_Disgust_Disgust_Left_Male_New.png","Cong_Disgust_Disgust_Left_Male_Intact.png","3","DOĞRU","j","2"
"Cong_Fear_Fear_Left_Fem_Face.png","Cong_Fear_Fear_Left_Fem_Rearranged.jpeg","Cong_Fear_Fear_Left_Fem_New.jpeg","Cong_Fear_Fear_Left_Fem_Intact.jpeg","3","DOĞRU","j","2"
"getimg_ai_img-ssrtUGBJ2bdwyAzG0NoZG_new.png","-","-","-","1","YANLIŞ","j","2"
"High_Anger_Disgust_Left_Male_Face.png","High_Anger_Disgust_Left_Male_Rearranged.png","High_Anger_Disgust_Left_Male_New.png","High_Anger_Disgust_Left_Male_Intact.png","3","DOĞRU","j","2"
"Low_Anger_Fear_Right_Fem_Face.png","Low_Anger_Fear_Right_Fem_Intact.jpeg","Low_Anger_Fear_Right_Fem_New.png","Low_Anger_Fear_Right_Fem_Rearranged.png","1","DOĞRU","j","2"
"getimg_ai_img-UFpdh28yeoFWiYc6A2bgO_new.png","-","-","-","1","YANLIŞ","j","2"
"Low_Sad_Anger_Right_Male_Face.png","Low_Sad_Anger_Right_Male_Rearranged.png","Low_Sad_Anger_Right_Male_New.jpeg","Low_Sad_Anger_Right_Male_Intact.png","3","DOĞRU","f","3"
"High_Sad_Disgust_Right_Fem_Face.png","High_Sad_Disgust_Right_Fem_Intact.png","High_Sad_Disgust_Right_Fem_Rearranged.png","High_Sad_Disgust_Right_Fem_New.png","1","DOĞRU","j","3"
"getimg_ai_img-NtTvkEL1cWI2lkAxx0Kjf_new.png","-","-","-","1","YANLIŞ","j","3"
"Low_Anger_Sad_Right_Male_Face.png","Low_Anger_Sad_Right_Male_New.png","Low_Anger_Sad_Right_Male_Face_Intact.png","Low_Anger_Sad_Right_Male_Rearranged.jpeg","2","DOĞRU","j","3"
"Low_Anger_Sad_Right_Fem_Face.png","Low_Anger_Sad_Right_Fem_Rearranged.png","Low_Anger_Sad_Right_Fem_Intact.png","Low_Anger_Sad_Right_Fem_New.png","2","DOĞRU","f","2"
"Cong_Disgust_Disgust_Right_Fem_Face.png","Cong_Disgust_Disgust_Right_Fem_Intact.png","Cong_Disgust_Disgust_Right_Fem_New.png","Cong_Disgust_Disgust_Right_Fem_Rearranged.png","1","DOĞRU","j","2"
"getimg_ai_img-a4pNY5X7vlffYnvnIXSoy_new.png","-","-","-","1","YANLIŞ","f","2"
"Low_Anger_Fear_Left_Male_Face.png","Low_Anger_Fear_Left_Male_New.png","Low_Anger_Fear_Left_Male_Rearranged.jpeg","Low_Anger_Fear_Left_Male_Intact.jpeg","3","DOĞRU","j","2"
"High_Anger_Disgust_Right_Fem_Face.png","High_Anger_Disgust_Right_Fem_Rearranged.png","High_Anger_Disgust_Right_Fem_New.png","High_Anger_Disgust_Right_Fem_Intact.png","3","DOĞRU","f","3"
"getimg_ai_img-4w730ZlRGHKP9bH3EzfDm_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Sad_Sad_Right_Male_Face.png","Cong_Sad_Sad_Right_Male_Intact.png","Cong_Sad_Sad_Right_Male_New.png","Cong_Sad_Sad_Right_Male_Rearranged.png","1","DOĞRU","j","3"
"Cong_Sad_Sad_Right_Fem_Face.png","Cong_Sad_Sad_Right_Fem_New.jpeg","Cong_Sad_Sad_Right_Fem_Intact.png","Cong_Sad_Sad_Right_Fem_Rearranged.png","2","DOĞRU","j","3"
"getimg_ai_img-IwB5JC9R2DjfhtIKnZTkp_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-skYTktfNfJa6ifXaQJBHv_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-QUBg26WPvJXmV6aeS1E8U_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-YmVlE8nV03Zgn4a6TxIIp_new.png","-","-","-","1","YANLIŞ","j","3"
"getimg_ai_img-SbIvBUB2V3m28fvYcj6Hf_new.png","-","-","-","1","YANLIŞ","j","3"
"High_Disgust_Anger_Right_Male_Face.png","High_Disgust_Anger_Right_Male_New.png","High_Disgust_Anger_Right_Male_Rearranged.png","High_Disgust_Anger_Right_Male_Intact.png","3","DOĞRU","j","3"
"getimg_ai_img-QOQrQ63e4RxXL4nnrretg_new.png","-","-","-","1","YANLIŞ","j","3"
"Cong_Anger_Anger_Left_Male_Face.png","Cong_Anger_Anger_Left_Male_New.png","Cong_Anger_Anger_Left_Male_Intact.png","Cong_Anger_Anger_Left_Male_Rearranged.png","2","DOĞRU","j","3"
"getimg_ai_img-8eSYf49JkXRUoMt4pIpVZ_new.png","-","-","-","1","YANLIŞ","j","3"
